,ln,dob,gn,fn
0,SMITH JR,01/03/68,F,WILLIAM
1,ROTHMEYER JR,01/03/68,F,WILLIAM
2,ASBY JR,01/03/68,F,WILLIAM
3,SALTER JR,01/03/68,F,WILLIAM
4,GRIFFIN JR,07/05/37,M,DARL
5,GRIFFIN JR,07/05/37,M,CLIFFORD
6,GRIFFIN JR,07/05/37,M,CLARENCE
7,MUSTAPHA JR,07/10/37,M,HAROLD
8,HOUGHTON JR,07/10/37,M,HAROLD
9,MELVIN JR,07/10/37,M,HAROLD
10,CHAVAS JR,07/10/37,M,HAROLD
11,MICHAELSON JR,07/10/37,M,HAROLD
12,SMITH JR,07/10/37,M,HAROLD
13,FAGEN JR,07/10/37,M,HAROLD
14,FAGEN JR,07/10/37,M,GEORGE
15,GRIFFIN JR,07/10/37,M,DARH
16,CLARK,09/02/45,M,RONALD
17,CLARK,09/02/45,M,DONALD
18,MICHAELSON JR,09/04/47,M,ROY
19,MICHAELSON JR,09/04/47,M,ROBERT
20,MICHAELSON JR,09/04/47,M,BOB
21,MICHAELSON JR,09/06/39,M,JACK
22,LARSON JR,09/06/39,M,HAROLD
23,MUSTAPHA JR,11/03/47,M,OWEN
24,MUSTAPHA JR,11/03/47,M,OWAN
25,MICHAELSON JR,16/12/44,M,JOHN
26,LIND JR,20/01/46,M,JOHN
27,CAIN JR,20/01/46,M,JOHN
28,BLAND JR,21/02/62,F,WILLIAM
29,SHAFFER JR,21/02/62,F,WILLIAM
30,BLAND III,21/02/62,F,WILLIAM
31,BLAND JR,21/02/62,F,BILL
32,BLAND,21/02/62,F,WILLIAM
33,MICHAELSON JR,24/06/39,M,JAMES
34,DUNCAN JR,25/10/53,F,THOMAS
35,CARLSON JR,25/10/53,F,ROY
36,CARLSON JR,25/10/53,F,RON
37,DUNCAN JR,25/10/53,F,ROY
38,HOUGHTON JR,31/01/46,M,LAWRENCE
39,LIND JR,31/01/46,M,LAWRENCE
40,LIND JR,31/01/46,M,KENNETH
